緯來,#genre#
智林體育台,http://209.146.124.22:8891/litv/4gtv-4gtv101 
TraceSports,http://209.146.124.22:8891/litv/4gtv-4gtv077 
影迷數位紀實台,http://209.146.124.22:8891/4gtv/212 
影迷數位電影台,http://209.146.124.22:8891/litv/4gtv-4gtv011 
AMC 最愛電影,http://209.146.124.22:8891/litv/4gtv-4gtv017 
CatchPlay 電影台,http://209.146.124.22:8891/litv/4gtv-4gtv076 
My Cinema Europe HD 我的歐洲電影,http://209.146.124.22:8891/4gtv/176 
公視, http://23.26.239.95:3599/xsj.php?id=pts 
公視3台,http://23.26.239.95:3599/xsj.php?id=pts-3 
公視台語台,http://23.26.239.95:3599/xsj.php?id=pts-ty
公視戲劇台,http://209.146.124.22:8891/litv/4gtv-4gtv042 
采昌影劇台,http://209.146.124.22:8891/litv/4gtv-4gtv049 
台灣戲劇台,http://209.146.124.22:8891/litv/litv-longturn22 
戲劇免費看 1台,http://209.146.124.22:8891/4gtv/270 
戲劇免費看 2台,http://209.146.124.22:8891/4gtv/244 
經典電影台,http://209.146.124.22:8891/4gtv/201 
電影免費看 2台,http://209.146.124.22:8891/4gtv/245 
電影原聲台 CMusic,http://209.146.124.22:8891/4gtv/218 
花系列 經典劇場,http://209.146.124.22:8891/4gtv/279 
CinemaWorld,http://209.146.124.22:8891/4gtv/225 
HITS 頻道,http://209.146.124.22:8891/4gtv/186 
Rock Action,http://209.146.124.22:8891/4gtv/180 
Rock Entertainment,http://209.146.124.22:8891/4gtv/275 
金光布袋戲,http://209.146.124.22:8891/4gtv/236 
霹靂布袋戲,http://209.146.124.22:8891/4gtv/301 
DreamWorks 夢工廠動畫,http://209.146.124.22:8891/4gtv/282 
Nickelodeon,http://209.146.124.22:8891/4gtv/185 
Nick Jr. 兒童頻道,http://209.146.124.22:8891/4gtv/219 
i-Fun 動漫台,http://209.146.124.22:8891/litv/litv-ftv15 
兒童卡通台,http://209.146.124.22:8891/4gtv/269 
中華一番,http://61.221.215.25:8800/hls/40/index.m3u8 
食尚玩家,http://125.227.210.55:8187/VideoInput/play.ts
